gene,pLI
AGRN,0.17335234
NOC2L,1.33E-19
B3GALT6,0.048104466
C1orf159,0.090877636
ISG15,0.009847813
KLHL17,2.52E-07
PLEKHN1,2.02E-08
SAMD11,1.35E-10
OR4F5,0.176329298
HES4,0.000147943
FAM132A,4.68E-05
TNFRSF18,8.37E-07
SDF4,0.001309827
TNFRSF4,0.00720933
TTLL10,1.95E-05
UBE2J2,0.415938847
ATAD3C,4.91E-05
MRPL20,0.000171803
CPSF3L,5.79E-09
AURKAIP1,0.002475388
SSU72,0.606848849
GLTPD1,0.00138279
MXRA8,0.004712972
ACAP3,0.03943093
VWA1,0.03319976
ATAD3A,0.040130598
CCNL2,0.104548195
DVL1,0.157164972
SCNN1D,2.82E-15
ATAD3B,1.92E-13
PUSL1,6.59E-12
C1orf86,0.785170903
SKI,0.9814021
CDK11B,0.72829444
GNB1,0.995187833
SLC35E2B,0.621002459
CDK11A,5.24E-05
NADK,0.00126769
PEX10,0.010463632
CALML6,0.000127437
TMEM52,0.328693114
MORN1,7.88E-07
GABRD,0.923498878
PRKCZ,0.266923657
RER1,0.969239733
MIB2,0.000158543
SLC35E2,0.374305908
PRDM16,0.999843194
TP73,0.975977778
PLCH2,1.71E-08
LRRC47,0.603832188
DFFB,5.09E-05
ACTRT2,0.018722461
ARHGEF16,9.37E-08
TPRG1L,0.002845285
HES5,0.532717162
C1orf174,0.018742502
MEGF6,4.42E-15
FAM213B,0.0001667
CCDC27,1.61E-19
WRAP73,0.02692199
CEP104,2.63E-08
MMEL1,8.88E-13
PANK4,0.945333402
TNFRSF14,0.819999054
KLHL21,0.001077352
NOL9,0.00447024
PLEKHG5,4.03E-05
KCNAB2,0.839972632
ICMT,0.959145428
ESPN,0.002553841
AJAP1,0.977592767
ZBTB48,0.680198376
TNFRSF25,0.448738853
TAS1R1,7.91E-09
NPHP4,1.29E-17
RPL22,0.348492156
RNF207,5.19E-06
HES3,0.268868568
CHD5,0.999999995
PHF13,0.931111283
THAP3,0.001484225
ACOT7,0.381517902
HES2,0.067046655
GPR153,0.000377954
VAMP3,0.054263067
SLC45A1,0.045189256
CA6,0.008023621
DNAJC11,0.99997079
PIK3CD,0.999984295
ENO1,0.010373413
SLC25A33,0.451158319
ERRFI1,0.046551582
SLC2A5,5.68E-05
GPR157,2.63E-05
UTS2,0.151041459
SLC2A7,2.99E-17
TMEM201,0.841903867
TNFRSF9,0.253050501
CAMTA1,0.999999955
PARK7,0.903949397
PER3,2.19E-10
H6PD,0.000111404
SPSB1,0.709596082
RERE,0.999995655
PEX14,0.634568378
CLSTN1,0.84421445
APITD1-CORT,0.008520901
DFFA,0.000218371
TARDBP,0.980707837
EXOSC10,1.66E-07
LZIC,0.001979247
CORT,0.009837791
SRM,0.869848472
PGD,0.968660462
RBP7,0.408810206
CTNNBIP1,0.02298674
C1orf200,0.054923005
CASZ1,0.999938476
KIF1B,1
MASP2,1.58E-14
UBE4B,0.999987414
C1orf127,1.33E-05
APITD1,0.008520901
NMNAT1,0.225291939
FBXO6,0.000485731
FBXO2,0.273382986
FBXO44,3.60E-05
NPPB,0.00038006
MAD2L2,0.202505866
UBIAD1,0.568905634
MIIP,1.96E-15
MFN2,0.999816094
C1orf167,0.155526802
CLCN6,0.163974191
TNFRSF8,0.845965387
PLOD1,2.70E-07
MTOR,1
DRAXIN,6.64E-10
ANGPTL7,8.44E-09
MTHFR,2.46E-07
NPPA,0.016931635
AGTRAP,0.041663403
PTCHD2,4.17E-05
AADACL3,0.000156334
PRAMEF6,0.691325858
PRAMEF1,0.098105164
PRAMEF12,3.90E-06
HNRNPCL1,0.010723266
TNFRSF1B,0.778880984
DHRS3,0.661359704
PRAMEF2,0.00056761
C1orf158,1.57E-08
PRAMEF22,0.617146896
PRAMEF11,0.285437975
PRAMEF4,0.074609525
AADACL4,0.000547686
PRAMEF10,0.875594719
VPS13D,0.999992132
PRAMEF7,0.176862963
PRAMEF14,0.559641613
PRDM2,0.995040619
TMEM51,0.870759443
PRAMEF19,0.583094142
PDPN,0.000983708
CELA2B,0.000617209
CTRC,5.22E-06
EFHD2,0.378995544
PRAMEF17,0.790929576
PRAMEF13,0.529422081
CELA2A,1.98E-06
KAZN,0.144589791
AGMAT,0.003672625
SPEN,1
TMEM82,1.23E-05
SLC25A34,0.000948153
FBLIM1,0.00078906
PLEKHM2,0.005065575
CLCNKA,2.75E-14
DNAJC16,3.79E-05
RSG1,1.08E-06
ARHGEF19,7.64E-09
FAM131C,0.276924373
EPHA2,0.738294173
HSPB7,0.013149237
CLCNKB,7.81E-12
ZBTB17,0.998165365
DDI2,0.941088127
RSC1A1,1.46E-08
C1orf64,0.010559209
CASP9,0.003193956
FBXO42,0.975946027
PADI1,5.27E-11
CROCC,4.71E-20
ATP13A2,0.001204951
ARHGEF10L,0.038306294
PADI2,0.000124031
PADI4,1.30E-09
SDHB,0.050102772
NECAP2,6.87E-05
MFAP2,0.000124328
SPATA21,3.58E-06
RCC2,0.787633127
SZRD1,0.719865991
IGSF21,0.547298803
PADI3,4.69E-10
ACTL8,0.077144246
UBR4,1
KLHDC7A,2.58E-10
CAPZB,0.592160351
AKR7A3,6.14E-10
TMCO4,9.98E-13
NBL1,0.108864873
ALDH4A1,0.000434044
EMC1,6.04E-14
PAX7,0.6298293
HTR6,0.001067254
AKR7L,0.004382442
TAS1R2,6.18E-13
PQLC2,0.000146809
OTUD3,2.63E-05
MINOS1,0.348880395
IFFO2,0.382583916
AKR7A2,3.56E-06
MINOS1-NBL1,0.068107983
RNF186,0.015478324
MRTO4,0.86997792
NBPF3,1.98E-11
PINK1,4.08E-07
DDOST,0.134980574
EIF4G3,0.999999907
CDA,0.787227682
PLA2G5,0.000190275
ECE1,0.999768646
CAMK2N1,0.138563182
PLA2G2F,2.10E-06
MUL1,3.49E-06
SH2D5,0.002653616
KIF17,3.34E-13
PLA2G2A,0.398124558
PLA2G2D,0.000177683
PLA2G2C,0.000569563
PLA2G2E,0.000343166
UBXN10,0.000293935
HP1BP3,0.991643468
RAP1GAP,0.974156915
EPHA8,1.14E-08
C1QB,0.085881049
ZBTB40,1.21E-05
C1QC,0.017381903
LUZP1,0.287846256
CELA3A,9.82E-08
EPHB2,0.999948635
LDLRAD2,0.000195123
ALPL,0.001106496
CDC42,0.656574472
C1QA,0.049789979
WNT4,0.153837856
CELA3B,2.12E-10
USP48,0.999997429
HTR1D,0.813006425
HSPG2,6.95E-06
KDM1A,0.991027965
MDS2,0.042965573
HNRNPR,0.999079074
RPL11,0.725843321
ZNF436,0.304488387
IL22RA1,0.064400851
TCEB3,0.999991942
C1orf213,0.000260771
LYPLA2,0.979519145
FUCA1,3.39E-08
TCEA3,0.000965886
GALE,3.27E-08
E2F2,0.914702778
HMGCL,0.002562529
PITHD1,0.102416723
ID3,0.688794338
MYOM3,9.28E-28
CNR2,0.000110726
ASAP3,2.36E-10
TMEM50A,0.333486481
C1orf63,2.72E-08
RCAN3,0.003206422
MAN1C1,0.04904804
MTFR1L,0.431750878
IFNLR1,0.308615222
RHD,0.0060601
TMEM57,0.992504411
SYF2,0.037927097
RUNX3,0.673967692
CLIC4,0.009462004
RHCE,0.861454126
NIPAL3,0.000454712
NCMAP,0.067267034
GRHL3,0.995583958
LDLRAP1,2.90E-05
SRRM1,0.999999022
STPG1,0.000106434
SEPN1,1.08E-07
UBXN11,1.20E-10
LIN28A,0.196269887
CATSPER4,3.16E-05
FAM110D,0.550404227
AUNIP,5.49E-08
CNKSR1,3.79E-16
ZNF683,0.001560697
CEP85,0.005851269
PAFAH2,2.69E-07
PDIK1L,0.381253877
DHDDS,0.704700923
AIM1L,3.33E-07
STMN1,0.648591504
SLC30A2,0.708283236
SH3BGRL3,0.795103829
ZNF593,0.156440974
TRIM63,4.72E-12
EXTL1,1.18E-12
PAQR7,0.009310768
CD52,0.530686212
FCN3,0.017251338
WDTC1,0.999307826
PIGV,7.20E-06
ARID1A,0.999999997
HMGN2,0.796674559
TMEM222,0.071986075
SFN,0.490890062
CD164L2,0.033744866
MAP3K6,4.91E-15
GPATCH3,6.05E-07
RPS6KA1,0.725875553
SYTL1,1.08E-07
ZDHHC18,0.00119785
NUDC,0.822775133
GPN2,0.036923454
FAM46B,0.051189875
NR0B2,5.83E-08
SLC9A1,0.95222813
